generation,arm,n_disruptions,completion_time_s,goodput_MBps,redundant_data_MB,transfer_efficiency_pct,recovery_per_outage_s,handshake_material_B,checkpoint_overhead_ratio_pct
5G,baseline,0,1.013,98.7,0.0,100.0,0.637,2272,0.0
5G,proposed,0,1.132,88.31,0.0,100.0,0.623,2272,11.92
5G,baseline,1,2.15,46.51,50.0,66.7,1.137,4544,0.0
5G,proposed,1,1.755,56.97,2.1,97.9,0.623,2272,11.92
5G,baseline,2,3.287,30.42,100.0,50.0,1.137,6816,0.0
5G,proposed,2,2.378,42.05,4.19,96.0,0.623,2272,11.92
5G,baseline,3,4.425,22.6,150.0,40.0,1.137,9088,0.0
5G,proposed,3,3.001,33.32,6.29,94.1,0.623,2272,11.92
5G,baseline,4,5.562,17.98,200.0,33.3,1.137,11360,0.0
5G,proposed,4,3.624,27.59,8.39,92.3,0.623,2272,11.92
5G,baseline,5,6.699,14.93,250.0,28.6,1.137,13632,0.0
5G,proposed,5,4.247,23.54,10.49,90.5,0.623,2272,11.92
5G,baseline,6,7.836,12.76,300.0,25.0,1.137,15904,0.0
5G,proposed,6,4.87,20.53,12.58,88.8,0.623,2272,11.92
5G,baseline,7,8.973,11.14,350.0,22.2,1.137,18176,0.0
5G,proposed,7,5.493,18.2,14.68,87.2,0.623,2272,11.92
5G,baseline,8,10.11,9.89,400.0,20.0,1.137,20448,0.0
5G,proposed,8,6.116,16.35,16.78,85.6,0.623,2272,11.92
5G,baseline,9,11.247,8.89,450.0,18.2,1.137,22720,0.0
5G,proposed,9,6.739,14.84,18.87,84.1,0.623,2272,11.92
5G,baseline,10,12.385,8.07,500.0,16.7,1.137,24992,0.0
5G,proposed,10,7.362,13.58,20.97,82.7,0.623,2272,11.92
B5G,baseline,0,0.902,110.92,0.0,100.0,0.837,2272,0.0
B5G,proposed,0,1.021,97.97,0.0,100.0,0.82,2272,13.41
B5G,baseline,1,2.183,45.82,50.0,66.7,1.281,4544,0.0
B5G,proposed,1,1.841,54.32,2.1,97.9,0.82,2272,13.41
B5G,baseline,2,3.464,28.87,100.0,50.0,1.281,6816,0.0
B5G,proposed,2,2.661,37.58,4.19,96.0,0.82,2272,13.41
B5G,baseline,3,4.745,21.08,150.0,40.0,1.281,9088,0.0
B5G,proposed,3,3.481,28.73,6.29,94.1,0.82,2272,13.41
B5G,baseline,4,6.026,16.6,200.0,33.3,1.281,11360,0.0
B5G,proposed,4,4.301,23.25,8.39,92.3,0.82,2272,13.41
B5G,baseline,5,7.307,13.69,250.0,28.6,1.281,13632,0.0
B5G,proposed,5,5.121,19.53,10.49,90.5,0.82,2272,13.41
B5G,baseline,6,8.588,11.64,300.0,25.0,1.281,15904,0.0
B5G,proposed,6,5.942,16.83,12.58,88.8,0.82,2272,13.41
B5G,baseline,7,9.869,10.13,350.0,22.2,1.281,18176,0.0
B5G,proposed,7,6.762,14.79,14.68,87.2,0.82,2272,13.41
B5G,baseline,8,11.15,8.97,400.0,20.0,1.281,20448,0.0
B5G,proposed,8,7.582,13.19,16.78,85.6,0.82,2272,13.41
B5G,baseline,9,12.431,8.04,450.0,18.2,1.281,22720,0.0
B5G,proposed,9,8.402,11.9,18.87,84.1,0.82,2272,13.41
B5G,baseline,10,13.712,7.29,500.0,16.7,1.281,24992,0.0
B5G,proposed,10,9.222,10.84,20.97,82.7,0.82,2272,13.41
6G,baseline,0,0.812,123.13,0.0,100.0,1.036,2272,0.0
6G,proposed,0,0.931,107.37,0.0,100.0,1.018,2272,14.9
6G,baseline,1,2.248,44.48,50.0,66.7,1.436,4544,0.0
6G,proposed,1,1.949,51.31,2.1,97.9,1.018,2272,14.9
6G,baseline,2,3.684,27.14,100.0,50.0,1.436,6816,0.0
6G,proposed,2,2.967,33.71,4.19,96.0,1.018,2272,14.9
6G,baseline,3,5.121,19.53,150.0,40.0,1.436,9088,0.0
6G,proposed,3,3.985,25.1,6.29,94.1,1.018,2272,14.9
6G,baseline,4,6.557,15.25,200.0,33.3,1.436,11360,0.0
6G,proposed,4,5.002,19.99,8.39,92.3,1.018,2272,14.9
6G,baseline,5,7.993,12.51,250.0,28.6,1.436,13632,0.0
6G,proposed,5,6.02,16.61,10.49,90.5,1.018,2272,14.9
6G,baseline,6,9.429,10.61,300.0,25.0,1.436,15904,0.0
6G,proposed,6,7.038,14.21,12.58,88.8,1.018,2272,14.9
6G,baseline,7,10.865,9.2,350.0,22.2,1.436,18176,0.0
6G,proposed,7,8.056,12.41,14.68,87.2,1.018,2272,14.9
6G,baseline,8,12.301,8.13,400.0,20.0,1.436,20448,0.0
6G,proposed,8,9.074,11.02,16.78,85.6,1.018,2272,14.9
6G,baseline,9,13.737,7.28,450.0,18.2,1.436,22720,0.0
6G,proposed,9,10.091,9.91,18.87,84.1,1.018,2272,14.9
6G,baseline,10,15.174,6.59,500.0,16.7,1.436,24992,0.0
6G,proposed,10,11.109,9.0,20.97,82.7,1.018,2272,14.9
